,DOM_MW,hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,lag1,lag2,lag3,prediction,isFuture,pred
2018-08-03 00:00:00,,0,4,3,8,2018,215,3,31,11607.0,11153.0,10717.0,,True,10659.438
2018-08-03 01:00:00,,1,4,3,8,2018,215,3,31,10638.0,10229.0,9874.0,,True,10153.6045
2018-08-03 02:00:00,,2,4,3,8,2018,215,3,31,9971.0,9659.0,9384.0,,True,9842.525
2018-08-03 03:00:00,,3,4,3,8,2018,215,3,31,9613.0,9285.0,8998.0,,True,9531.994
2018-08-03 04:00:00,,4,4,3,8,2018,215,3,31,9381.0,9094.0,8834.0,,True,9260.926
2018-08-03 05:00:00,,5,4,3,8,2018,215,3,31,9405.0,9122.0,8949.0,,True,9369.529
2018-08-03 06:00:00,,6,4,3,8,2018,215,3,31,9781.0,9571.0,9383.0,,True,9983.527
2018-08-03 07:00:00,,7,4,3,8,2018,215,3,31,10296.0,10261.0,10092.0,,True,10555.71
2018-08-03 08:00:00,,8,4,3,8,2018,215,3,31,10970.0,10937.0,10588.0,,True,11320.179
2018-08-03 09:00:00,,9,4,3,8,2018,215,3,31,11794.0,11526.0,11080.0,,True,11939.552
2018-08-03 10:00:00,,10,4,3,8,2018,215,3,31,12701.0,12240.0,11585.0,,True,12520.218
2018-08-03 11:00:00,,11,4,3,8,2018,215,3,31,13725.0,12855.0,11900.0,,True,13177.487
2018-08-03 12:00:00,,12,4,3,8,2018,215,3,31,14705.0,13397.0,12142.0,,True,13988.367
2018-08-03 13:00:00,,13,4,3,8,2018,215,3,31,15447.0,13795.0,12274.0,,True,14218.0
2018-08-03 14:00:00,,14,4,3,8,2018,215,3,31,16157.0,14193.0,12466.0,,True,14379.923
2018-08-03 15:00:00,,15,4,3,8,2018,215,3,31,16533.0,14517.0,12740.0,,True,14575.129
2018-08-03 16:00:00,,16,4,3,8,2018,215,3,31,16906.0,14637.0,12842.0,,True,14611.38
2018-08-03 17:00:00,,17,4,3,8,2018,215,3,31,,14789.0,12761.0,,True,14585.872
2018-08-03 18:00:00,,18,4,3,8,2018,215,3,31,16941.0,14932.0,12642.0,,True,14631.244
2018-08-03 19:00:00,,19,4,3,8,2018,215,3,31,16429.0,14713.0,12363.0,,True,14495.574
2018-08-03 20:00:00,,20,4,3,8,2018,215,3,31,15611.0,14204.0,11979.0,,True,14241.283
2018-08-03 21:00:00,,21,4,3,8,2018,215,3,31,15148.0,13934.0,12062.0,,True,14334.289
2018-08-03 22:00:00,,22,4,3,8,2018,215,3,31,14382.0,13478.0,11833.0,,True,13960.241
2018-08-03 23:00:00,,23,4,3,8,2018,215,3,31,13428.0,12628.0,11176.0,,True,12911.399
2018-08-04 00:00:00,,0,5,3,8,2018,216,4,31,12240.0,11689.0,10338.0,,True,10879.966
2018-08-04 01:00:00,,1,5,3,8,2018,216,4,31,11435.0,10866.0,9633.0,,True,10449.344
2018-08-04 02:00:00,,2,5,3,8,2018,216,4,31,10756.0,10273.0,9182.0,,True,9998.191
2018-08-04 03:00:00,,3,5,3,8,2018,216,4,31,10311.0,9891.0,8781.0,,True,9851.789
2018-08-04 04:00:00,,4,5,3,8,2018,216,4,31,9967.0,9677.0,8579.0,,True,9799.715
2018-08-04 05:00:00,,5,5,3,8,2018,216,4,31,9787.0,9631.0,8542.0,,True,9725.445
2018-08-04 06:00:00,,6,5,3,8,2018,216,4,31,9804.0,9728.0,8663.0,,True,9776.029
2018-08-04 07:00:00,,7,5,3,8,2018,216,4,31,9819.0,9887.0,8838.0,,True,9963.915
2018-08-04 08:00:00,,8,5,3,8,2018,216,4,31,10215.0,10371.0,9238.0,,True,10488.716
2018-08-04 09:00:00,,9,5,3,8,2018,216,4,31,10992.0,11452.0,10047.0,,True,11280.476
2018-08-04 10:00:00,,10,5,3,8,2018,216,4,31,11794.0,12536.0,10825.0,,True,12112.395
2018-08-04 11:00:00,,11,5,3,8,2018,216,4,31,12373.0,13592.0,11402.0,,True,12876.761
2018-08-04 12:00:00,,12,5,3,8,2018,216,4,31,12790.0,14537.0,11843.0,,True,13436.904
2018-08-04 13:00:00,,13,5,3,8,2018,216,4,31,13202.0,15385.0,12168.0,,True,13726.897
2018-08-04 14:00:00,,14,5,3,8,2018,216,4,31,13536.0,16134.0,12519.0,,True,13945.416
2018-08-04 15:00:00,,15,5,3,8,2018,216,4,31,13776.0,16287.0,12813.0,,True,14057.991
2018-08-04 16:00:00,,16,5,3,8,2018,216,4,31,14117.0,16276.0,13077.0,,True,14210.913
2018-08-04 17:00:00,,17,5,3,8,2018,216,4,31,14242.0,16334.0,13211.0,,True,14434.43
